id,type,category_sel,agreement,mail,name,genre_sel,group_sel,description,addr_sel,addr,area_sel,takeaway_sel,takeaway_menu,takeaway_note,delivery_demaekan,delivery_ubereats,delivery_own,delivery_other,delivery_note,phone,open_day,payment_cash,payment_card,payment_qr,payment_emoney,payment_note,website,twitter,facebook,instagram,line,sns_other,transportation,diet_note,allergy_note,latitude,longitude,covid19_note,note,expired_shop_date,closes_shop_date,soldout_takeaway_date,soldout_delivery_date,created_date,update_date
76,1,1,1,,casual dining bar SHELTER,6,-1,2020年2月/27日にオープン。店名のSHELTER＝避難所は、日常から避難しに来てもらいたいとの想いから,神奈川県川崎市幸区,鹿島田1-9-4,8,1,"おうちごはん
例）肉じゃが＆玉子焼き
ガパオライス",,0,0,0,0,,044-201-9475,"OPEN:17:00
DRINK L.O 18:40
FOOD L.O 19:30
CLOSE 20:00 日曜日、月曜日はランチのみ！",1,0,0,0,,,,,https://www.instagram.com/shelter_2020,,,"JR南武線「鹿島田駅」から徒歩2分
JR横須賀線・湘南新宿ライン「新川崎駅」から徒歩4分
川崎鶴見臨港バス「鹿島田駅前」バス停から徒歩3分
鹿島田駅から85m",,,35.551075,139.674325,新型コロナウイルスの影響で営業時間短縮中！,,,,,,2020-05-19 11:46:54,2020-05-19 11:53:17
75,1,1,1,,地鶏焼き鳥　おらんだや　新川崎店 ,6,-1,,神奈川県川崎市幸区,鹿島田1-5-21,8,1,"チキンカツ弁当　750円、とり天丼850円、オムライス780円、キムチチャーハン680円など、
ほぼ全メニューテイクアウト可能",,0,0,0,0,,044-555-3100,"平日、土曜日　11：30〜13:30、17:00〜20:00  
日曜日　　　　定休日",1,0,0,0,,,,,,,,,,,35.551739,139.672302,,,,,,,2020-05-19 09:46:23,2020-05-19 09:46:23
74,1,1,1,,クッチーナ・イル・テット,4,-1,地元で愛され続けるイタリアンの名店です。,神奈川県川崎市幸区,鹿島田1-9-1,8,1,Pizza1100円〜（マルゲリータ、ロマーナ、トンノ、マチュライオ、メーレ、クワトロフォルマッジ)　Pasta各950円（ショートパスタのみ:ボロネーゼ、タラコクリーム、桜えび、しめじ、水菜のペペロンチーノ等)　サラダ（グリーンサラダ、前菜3種盛り),本格派イタリアンがご家庭で楽しめます。お電話でご予約すると、待ち時間無く受け取れます。,0,0,0,0,,044-511-8686,11:30〜13:20‬、‪17:30〜19:20‬ 水曜日定休日,1,1,0,0,,,,,,,,,,,35.55095,139.674545,,,,,,,2020-05-18 19:29:27,2020-05-18 19:29:52
73,1,1,1,,まぐろ料理まんや,6,-1,三崎港直送のまぐろが名物のアットホームなお店です。,神奈川県川崎市幸区,鹿島田1-8-44,8,1,おすすめ　海鮮丼1000円、マグロビビンバ丼980円、山かけ丼890円、中トロ鉄火丼1180円など,,0,0,0,0,,044-556-1119,11:00～13:30、17:00～21:00　日曜日定休日,1,1,0,0,,,,,,,,鹿島田駅西口より徒歩2分です。,,,35.551428,139.673589,,,,,,,2020-05-18 19:03:35,2020-05-18 19:05:39
72,1,3,1,,Theやきとり　喜作,6,-1,素材が持つ旨みを活かしたメニューで定評があります。テイクアウトは、焼き物、揚げ物、サラダ、お弁当ございます。,神奈川県川崎市幸区,鹿島田1−7−22,8,1,"焼き物、揚げ物、サラダ、お弁当も承っております。
専門店の味を、お家でご堪能ください。
電話注文可、店先に注文メニューあります。

おすすめ：やきとり、蒸し鶏、ローストビーフ、チキン南蛮、軟骨唐揚げ
お弁当：とり唐ポン酢、チキン南蛮、チキンカツ、親子丼等","全てご注文頂いてからお作りしますので、お電話にて事前にご予約いただくとスムーズです。
焼き鳥メニューで1種類5本以上のご注文は、前もってご予約くださいませ。
UberEatsでもお取り扱いございます（メニューはお問合せお願いします）。",0,1,0,0,お電話にて事前にご予約いただくとスムーズです。,044−555−5823,"火〜金、祝前日：11:30-14:00, 18:00-0:00
土、日、祝日：17:00−0:00
定休日：月曜日",1,1,0,1,,https://kisaku-kashimada.owst.jp/,,Theやきとり喜作,,,https://kashimadashotenkai.com/?cat=106&paged=2,"南武線鹿島田駅より徒歩4分
横須賀線新川崎駅より徒歩5分",,,35.552357,139.673218,,,,,,,2020-05-18 12:39:34,2020-05-18 12:39:34
71,1,1,1,,五三　（広島風お好み焼き）,0,-1,ボリュームたっぷりの広島風お好み焼き、五三（ごじゅうさん）です。通も納得の味です。テイクアウトメニューもございますので、ぜひご利用ください。,神奈川県川崎市幸区,鹿島田1−7−20,8,1,"写真のメニューになります。
おすすめは、
スタンダード　1000円。
肉玉そば　850円。
マヨ明太チーズ　1100円（全て税別）。
です。どうぞご利用下さい。","テイクアウト時間
12:00−13:30
17:00−20:00
定休日：水曜日
お電話で注文承ります。",0,0,0,0,,044−589−4928,"11:30−14:30
17:00−23:00
テイクアウト時間
12:00−13:30
17:00−20:00
定休日：水曜日",0,0,0,0,,https://m.facebook.com/story.php?story_fbid=2591836651059890&id=1460352037541696,,鹿島田商店会,,,鹿島田商店会ホームページ　https://kashimadashotenkai.com/?cat=106,"南武線鹿島田駅より徒歩5分
横須賀線新川崎駅より徒歩4分",,,35.552508,139.673256,,,,,,,2020-05-17 10:54:36,2020-05-17 10:54:36
70,1,1,1,,唐揚げ弁当からっと,1,-1,,神奈川県川崎市幸区,鹿島田1-1-5　パークタワー新川崎２F,8,1,お弁当、唐揚げのみ両方テイクアウトできます。,,0,0,0,0,,044-201-7456,11:00〜14:30、16:00〜19：00 日曜日定休,0,0,0,0,,,,,,,,鹿島田駅近く,,,35.5504,139.6742,,,,,,,2020-05-16 05:56:20,2020-05-16 05:56:21
69,1,1,1,,お食事処のみ処ことぶき,6,-1,,神奈川県川崎市幸区,鹿島田1-7-20,8,1,"おすすめ
テイクアウトお弁当
ハンバーグ、豚の生姜焼き、チキンバジルソテー　焼き魚等",,0,0,0,0,,044-522-7818,"ランチ月〜金11:30〜13:30
夜 月〜土、祝　16:00〜20時 １９時ラストオーダー",0,0,0,0,,,,,,,,鹿島田駅、新川崎駅近く,,,35.552508,139.673256,,,,,,,2020-05-16 05:46:21,2020-05-16 05:46:21
68,1,1,1,,DB’s KITCHEN　鹿島田店,7,-1,本場インド、ネパールの味をお楽しみ頂けます！,神奈川県川崎市幸区,鹿島田1-8-39,8,1,バターチキン、マトンカレー、ほうれん草チキン、ミックス野菜カレー　ナンまたはライスが選べます！,,0,0,0,0,,044-555-5500,"[月～日] LUNCH：11:00～15:00(L.O.14:30)
　　　　DINNER：17:00～22:00(L.O.21:30)
日曜営業

定休日
　年末年始",0,0,0,0,,https://tabelog.com/kanagawa/A1405/A140503/14065252/,,,,,,,健康・美容メニューあり、ベジタリアンメニューあり,,35.551236,139.673887,,,,,,,2020-05-15 21:57:01,2020-05-15 22:10:23
67,1,-1,1,,和風ビアホール　居酒屋一力,6,-1,お帰りラクラク新川崎駅と鹿島田駅の丁度中間歩いて３分　川崎で唯一エクストラコールドが飲める店　和洋食からイタリアンまで豊富なメニュー　コース料理もあり　HPをご覧ください。,神奈川県川崎市幸区,鹿島田2-22-23 新川崎駅ビル1階,8,2,,,0,0,0,0,,０４４－５１１－４３５３,年中無休　１７：００～２４：００　(金曜日　～２６：００),0,0,0,0,,http://www.kashimada-italitei.com/index.html,,,,,,,,,35.55232249,139.6719038,,,,,,,2020-05-14 23:38:22,2020-05-14 23:38:22
